                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0283,                 5.3529,                 4.1627,                      0,                      0,                      0,                      0,                 2.6842,                 4.8077,                 4.0097,             0.00010983,             0.00010983,             0.00010983
                      2,                 2.9428,                 5.2301,                 3.9621,                 0.3471,                0.09936,                0.00351,                0.00121,                 2.5666,                 5.4599,                 3.4877,             0.00021865,             0.00021865,             0.00021865
                      3,                 2.7611,                 5.0666,                 3.5983,                0.00117,                0.39878,                0.01717,                0.00476,                 2.5188,                 5.7777,                 3.2009,             0.00032526,             0.00032526,             0.00032526
                      4,                 2.6263,                 4.8855,                 3.3192,                0.00482,                0.64889,                0.02711,                0.01135,                 2.2995,                 3.9571,                 3.2346,             0.00032311,             0.00032311,             0.00032311
                      5,                 2.3734,                 4.6398,                 3.0439,                0.24554,                0.30514,                 0.0525,                0.02038,                 2.0818,                  4.005,                  2.818,             0.00031981,             0.00031981,             0.00031981
                      6,                 2.1738,                 4.4226,                 2.8151,                0.71474,                 0.0859,                0.07466,                0.03735,                 1.8713,                 3.5731,                 2.5856,             0.00031652,             0.00031652,             0.00031652
                      7,                 2.0185,                 4.2664,                 2.6524,                0.00495,                0.92453,                0.06008,                  0.027,                 1.8919,                 3.4684,                  2.592,             0.00031322,             0.00031322,             0.00031322
                      8,                 1.9035,                 4.0925,                 2.5306,                0.60552,                0.10234,                0.13963,                0.06942,                 1.8374,                 3.2224,                 2.4109,             0.00030992,             0.00030992,             0.00030992
                      9,                 1.8127,                 3.9388,                 2.4271,                0.57721,                0.05578,                 0.1359,                0.07949,                 1.5478,                 3.0678,                 2.2292,             0.00030663,             0.00030663,             0.00030663
                     10,                 1.6921,                 3.8172,                 2.3338,                0.40344,                0.10143,                0.14953,                0.09323,                 1.5514,                  2.931,                  2.218,             0.00030333,             0.00030333,             0.00030333
                     11,                 1.6354,                  3.706,                 2.2573,                0.27522,                0.32687,                0.19856,                0.11077,                 1.6982,                 2.8823,                 2.2271,             0.00030003,             0.00030003,             0.00030003
                     12,                 1.5752,                 3.5862,                 2.1806,                0.31181,                0.24178,                0.24957,                0.14628,                 1.4777,                  2.662,                  2.019,             0.00029674,             0.00029674,             0.00029674
                     13,                 1.5204,                 3.4855,                 2.1272,                0.60763,                 0.2189,                0.23551,                0.15017,                 1.4118,                 2.5535,                 1.9631,             0.00029344,             0.00029344,             0.00029344
                     14,                 1.4472,                 3.3528,                 2.0716,                 0.3466,                0.38484,                0.29385,                0.20353,                 1.2437,                 2.4741,                 1.8839,             0.00029014,             0.00029014,             0.00029014
                     15,                 1.4327,                 3.3018,                 2.0429,                0.40578,                0.46161,                0.34353,                0.22198,                 1.3351,                 2.4462,                 1.8752,             0.00028685,             0.00028685,             0.00028685
                     16,                 1.3987,                 3.2101,                 2.0167,                0.20746,                0.41008,                 0.3471,                0.25016,                  1.137,                 2.3563,                 1.7614,             0.00028355,             0.00028355,             0.00028355
                     17,                 1.3706,                 3.1718,                 1.9816,                0.29314,                0.46037,                0.37567,                0.27056,                 1.1282,                 2.2429,                 1.7426,             0.00028025,             0.00028025,             0.00028025
